,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,A_MEAN,MEAN_PRSE,Target,Target_Num
1182,"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic",broad,288810,0.9,40740,0.2,Production Occupations,21
1183,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,179630,1.2,40000,0.3,Production Occupations,21
1184,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,6810,5.7,43240,1.5,Production Occupations,21
1185,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,67750,1.8,40030,0.4,Production Occupations,21
1186,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,19690,3.7,44270,0.9,Production Occupations,21
1187,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,14920,4.4,47100,0.8,Production Occupations,21
1188,Machinists,broad,333220,0.9,49020,0.3,Production Occupations,21
1189,Machinists,detailed,333220,0.9,49020,0.3,Production Occupations,21
1190,"Metal Furnace Operators, Tenders, Pourers, and Casters",broad,22110,1.9,45990,0.5,Production Occupations,21
1191,Metal-Refining Furnace Operators and Tenders,detailed,15540,2.6,46440,0.6,Production Occupations,21
1192,"Pourers and Casters, Metal",detailed,6570,2.3,44910,0.5,Production Occupations,21
1193,"Model Makers and Patternmakers, Metal and Plastic",broad,5780,4.9,55740,1.4,Production Occupations,21
1194,"Model Makers, Metal and Plastic",detailed,3690,6.8,59080,2,Production Occupations,21
1195,"Patternmakers, Metal and Plastic",detailed,2090,6.6,49840,1.3,Production Occupations,21
1196,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",broad,176820,1.4,37720,0.4,Production Occupations,21
1197,Foundry Mold and Coremakers,detailed,13610,3.3,39980,0.9,Production Occupations,21
1198,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,163210,1.5,37530,0.4,Production Occupations,21
1199,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",broad,134880,1.8,40830,0.5,Production Occupations,21
1200,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,134880,1.8,40830,0.5,Production Occupations,21
1201,Tool and Die Makers,broad,63630,1.7,56150,0.4,Production Occupations,21
1202,Tool and Die Makers,detailed,63630,1.7,56150,0.4,Production Occupations,21
1203,"Welding, Soldering, and Brazing Workers",broad,427580,0.7,47910,0.2,Production Occupations,21
1204,"Welders, Cutters, Solderers, and Brazers",detailed,397600,0.8,48290,0.2,Production Occupations,21
1205,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",detailed,29980,3.4,42950,0.8,Production Occupations,21
1206,Miscellaneous Metal Workers and Plastic Workers,broad,78530,1.6,40940,0.5,Production Occupations,21
1207,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",detailed,14540,4.2,41560,1.1,Production Occupations,21
1208,"Layout Workers, Metal and Plastic",detailed,6840,6.6,52340,1.5,Production Occupations,21
1209,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,32310,2.2,38580,0.6,Production Occupations,21
1210,"Tool Grinders, Filers, and Sharpeners",detailed,6100,6.1,43660,1.7,Production Occupations,21
1211,"Metal Workers and Plastic Workers, All Other",detailed,18740,4.4,39480,0.9,Production Occupations,21
1212,Printing Workers,minor,211930,1.2,40660,0.4,Production Occupations,21
1213,Printing Workers,broad,211930,1.2,40660,0.4,Production Occupations,21
1214,Prepress Technicians and Workers,detailed,25840,2.5,43800,0.8,Production Occupations,21
1215,Printing Press Operators,detailed,145290,1.2,41120,0.4,Production Occupations,21
1216,Print Binding and Finishing Workers,detailed,40810,4,37060,1.3,Production Occupations,21
1217,"Textile, Apparel, and Furnishings Workers",minor,445950,0.8,31210,0.3,Production Occupations,21
1218,Laundry and Dry-Cleaning Workers,broad,157400,1.3,27830,0.3,Production Occupations,21
1219,Laundry and Dry-Cleaning Workers,detailed,157400,1.3,27830,0.3,Production Occupations,21
1220,"Pressers, Textile, Garment, and Related Materials",broad,26910,3.6,28110,0.7,Production Occupations,21
1221,"Pressers, Textile, Garment, and Related Materials",detailed,26910,3.6,28110,0.7,Production Occupations,21
1222,Sewing Machine Operators,broad,116220,1.6,30880,0.4,Production Occupations,21
1223,Sewing Machine Operators,detailed,116220,1.6,30880,0.4,Production Occupations,21
1224,Shoe and Leather Workers,broad,9240,5.4,32950,2.2,Production Occupations,21
1225,Shoe and Leather Workers and Repairers,detailed,5620,5.7,34890,2.1,Production Occupations,21
1226,Shoe Machine Operators and Tenders,detailed,3610,9.7,29920,4.2,Production Occupations,21
1227,"Tailors, Dressmakers, and Sewers",broad,21450,6,34630,1.5,Production Occupations,21
1228,"Sewers, Hand",detailed,4170,9.7,31350,1.4,Production Occupations,21
1229,"Tailors, Dressmakers, and Custom Sewers",detailed,17270,7.2,35430,1.9,Production Occupations,21
1230,"Textile Machine Setters, Operators, and Tenders",broad,56700,1.4,33110,0.5,Production Occupations,21
1231,Textile Bleaching and Dyeing Machine Operators and Tenders,detailed,6240,6.5,31940,1,Production Occupations,21
1232,"Textile Cutting Machine Setters, Operators, and Tenders",detailed,11970,3,33100,0.8,Production Occupations,21
1233,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",detailed,16330,2.4,33640,0.7,Production Occupations,21
1234,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",detailed,22160,1.9,33050,0.8,Production Occupations,21
1235,"Miscellaneous Textile, Apparel, and Furnishings Workers",broad,58030,2,39050,0.7,Production Occupations,21
1236,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",detailed,14040,4.4,40600,1.1,Production Occupations,21
1237,Fabric and Apparel Patternmakers,detailed,3220,7.3,64070,4,Production Occupations,21
1238,Upholsterers,detailed,28020,2.7,38220,0.7,Production Occupations,21
1239,"Textile, Apparel, and Furnishings Workers, All Other",detailed,12750,5.6,32840,1.1,Production Occupations,21
1240,Woodworkers,minor,230400,1,37520,0.3,Production Occupations,21
1241,Cabinetmakers and Bench Carpenters,broad,93070,1.8,40070,0.5,Production Occupations,21
1242,Cabinetmakers and Bench Carpenters,detailed,93070,1.8,40070,0.5,Production Occupations,21
1243,Furniture Finishers,broad,16300,2.8,37310,0.8,Production Occupations,21
1244,Furniture Finishers,detailed,16300,2.8,37310,0.8,Production Occupations,21
1245,"Model Makers and Patternmakers, Wood",broad,550,16,56560,3.4,Production Occupations,21
1246,"Model Makers, Wood",detailed,340,22.3,60040,4.6,Production Occupations,21
1247,"Patternmakers, Wood",detailed,210,17.8,51020,4.7,Production Occupations,21
1248,"Woodworking Machine Setters, Operators, and Tenders",broad,112560,1.2,35450,0.3,Production Occupations,21
1249,"Sawing Machine Setters, Operators, and Tenders, Wood",detailed,45350,1.8,35280,0.5,Production Occupations,21
1250,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",detailed,67210,1.9,35560,0.4,Production Occupations,21
1251,Miscellaneous Woodworkers,broad,7910,5.8,36080,1.2,Production Occupations,21
1252,"Woodworkers, All Other",detailed,7910,5.8,36080,1.2,Production Occupations,21
1253,Plant and System Operators,minor,280900,0.7,66210,0.3,Production Occupations,21
1254,"Power Plant Operators, Distributors, and Dispatchers",broad,43440,1.4,89410,0.4,Production Occupations,21
1255,Nuclear Power Reactor Operators,detailed,4820,1.1,111220,0.5,Production Occupations,21
1256,Power Distributors and Dispatchers,detailed,9660,3,95520,0.6,Production Occupations,21
1257,Power Plant Operators,detailed,28960,1.8,83740,0.6,Production Occupations,21
1258,Stationary Engineers and Boiler Operators,broad,29820,2.3,70510,0.6,Production Occupations,21
1259,Stationary Engineers and Boiler Operators,detailed,29820,2.3,70510,0.6,Production Occupations,21
1260,Water and Wastewater Treatment Plant and System Operators,broad,121150,1.3,52320,0.5,Production Occupations,21
1261,Water and Wastewater Treatment Plant and System Operators,detailed,121150,1.3,52320,0.5,Production Occupations,21
1262,Miscellaneous Plant and System Operators,broad,86500,1.6,72540,0.5,Production Occupations,21
1263,Chemical Plant and System Operators,detailed,21740,3.4,69020,1,Production Occupations,21
1264,Gas Plant Operators,detailed,15110,3.7,76970,1.2,Production Occupations,21
1265,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",detailed,34230,2.7,80500,0.5,Production Occupations,21
1266,"Plant and System Operators, All Other",detailed,15420,3.6,55480,1.3,Production Occupations,21
1267,Other Production Occupations,minor,2409900,0.4,41820,0.2,Production Occupations,21
1268,"Chemical Processing Machine Setters, Operators, and Tenders",broad,154790,1.2,50760,0.6,Production Occupations,21
1269,Chemical Equipment Operators and Tenders,detailed,106170,1.5,52450,0.8,Production Occupations,21
1270,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",detailed,48620,2.1,47060,0.7,Production Occupations,21
1271,"Crushing, Grinding, Polishing, Mixing, and Blending Workers",broad,155920,1.3,41900,0.4,Production Occupations,21
1272,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",detailed,31800,2.4,42790,0.7,Production Occupations,21
1273,"Grinding and Polishing Workers, Hand",detailed,15680,5.1,35990,1.2,Production Occupations,21
1274,"Mixing and Blending Machine Setters, Operators, and Tenders",detailed,108440,1.6,42490,0.4,Production Occupations,21
1275,Cutting Workers,broad,63850,1.6,39300,0.4,Production Occupations,21
1276,"Cutters and Trimmers, Hand",detailed,7920,5.9,34330,1.4,Production Occupations,21
1277,"Cutting and Slicing Machine Setters, Operators, and Tenders",detailed,55930,1.6,40010,0.4,Production Occupations,21
1278,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",broad,56570,2.1,40050,0.4,Production Occupations,21
1279,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",detailed,56570,2.1,40050,0.4,Production Occupations,21
1280,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",broad,14180,2.5,43910,0.7,Production Occupations,21
1281,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",detailed,14180,2.5,43910,0.7,Production Occupations,21
1282,"Inspectors, Testers, Sorters, Samplers, and Weighers",broad,551380,0.8,44810,0.3,Production Occupations,21
1283,"Inspectors, Testers, Sorters, Samplers, and Weighers",detailed,551380,0.8,44810,0.3,Production Occupations,21
1284,Jewelers and Precious Stone and Metal Workers,broad,24350,3.7,47090,1.3,Production Occupations,21
1285,Jewelers and Precious Stone and Metal Workers,detailed,24350,3.7,47090,1.3,Production Occupations,21
1286,Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians,broad,68380,2.5,44770,1,Production Occupations,21
1287,Dental Laboratory Technicians,detailed,34150,2.6,47320,1,Production Occupations,21
1288,Medical Appliance Technicians,detailed,15300,6.5,46320,1.8,Production Occupations,21
1289,Ophthalmic Laboratory Technicians,detailed,18930,4.8,38910,1.6,Production Occupations,21
1290,Packaging and Filling Machine Operators and Tenders,broad,358640,1.1,36750,0.3,Production Occupations,21
1291,Packaging and Filling Machine Operators and Tenders,detailed,358640,1.1,36750,0.3,Production Occupations,21
1292,Painting Workers,broad,157250,1.5,43480,0.4,Production Occupations,21
1293,"Painting, Coating, and Decorating Workers",detailed,11850,4.5,38250,1.1,Production Occupations,21
1294,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",detailed,145410,1.6,43900,0.4,Production Occupations,21
1295,Semiconductor Processing Technicians,broad,24020,2.2,45910,0.6,Production Occupations,21
1296,Semiconductor Processing Technicians,detailed,24020,2.2,45910,0.6,Production Occupations,21
1297,Photographic Process Workers and Processing Machine Operators,broad,5740,6.2,40300,1.8,Production Occupations,21
1298,Photographic Process Workers and Processing Machine Operators,detailed,5740,6.2,40300,1.8,Production Occupations,21
1299,Computer Numerically Controlled Tool Operators and Programmers,broad,183630,1.3,48500,0.3,Production Occupations,21
1300,Computer Numerically Controlled Tool Operators,detailed,157840,1.4,46240,0.3,Production Occupations,21
1301,Computer Numerically Controlled Tool Programmers,detailed,25800,1.9,62360,0.6,Production Occupations,21
1302,Miscellaneous Production Workers,broad,591200,0.8,36920,0.3,Production Occupations,21
1303,Adhesive Bonding Machine Operators and Tenders,detailed,12510,4.8,38580,1.2,Production Occupations,21
1304,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",detailed,13580,3.2,35820,0.8,Production Occupations,21
1305,Cooling and Freezing Equipment Operators and Tenders,detailed,7500,2.4,42910,0.5,Production Occupations,21
1306,Etchers and Engravers,detailed,7110,10.6,36970,1.7,Production Occupations,21
1307,"Molders, Shapers, and Casters, Except Metal and Plastic",detailed,38420,2.7,39020,0.6,Production Occupations,21
1308,"Paper Goods Machine Setters, Operators, and Tenders",detailed,87480,1.7,44180,0.5,Production Occupations,21
1309,Tire Builders,detailed,17240,2.2,47840,0.6,Production Occupations,21
1310,Helpers--Production Workers,detailed,202860,1.3,32910,0.4,Production Occupations,21
1311,"Production Workers, All Other",detailed,204500,1.6,36230,0.5,Production Occupations,21
1312,Transportation and Material Moving Occupations,major,12639920,0.2,41340,0.2,Transportation and Material Moving Occupations,22
1313,Supervisors of Transportation and Material Moving Workers,minor,557850,0.5,58630,0.2,Transportation and Material Moving Occupations,22
1314,First-Line Supervisors of Transportation and Material Moving Workers,broad,557850,0.5,58630,0.2,Transportation and Material Moving Occupations,22
1315,Aircraft Cargo Handling Supervisors,detailed,8590,3.4,62080,0.8,Transportation and Material Moving Occupations,22
1316,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",detailed,549260,0.5,58580,0.2,Transportation and Material Moving Occupations,22
1317,Air Transportation Workers,minor,254820,0.6,119590,0.4,Transportation and Material Moving Occupations,22
1318,Aircraft Pilots and Flight Engineers,broad,124080,1.1,169540,0.5,Transportation and Material Moving Occupations,22
1319,"Airline Pilots, Copilots, and Flight Engineers",detailed,81310,0.9,198190,0.4,Transportation and Material Moving Occupations,22
1320,Commercial Pilots,detailed,42770,2.6,115080,1.6,Transportation and Material Moving Occupations,22
1321,Air Traffic Controllers and Airfield Operations Specialists,broad,33830,1.1,100510,0.6,Transportation and Material Moving Occupations,22
1322,Air Traffic Controllers,detailed,21230,0.5,127920,0.2,Transportation and Material Moving Occupations,22
1323,Airfield Operations Specialists,detailed,12610,2.9,54360,0.9,Transportation and Material Moving Occupations,22
1324,Flight Attendants,broad,96900,0.3,62280,0.2,Transportation and Material Moving Occupations,22
1325,Flight Attendants,detailed,96900,0.3,62280,0.2,Transportation and Material Moving Occupations,22
1326,Motor Vehicle Operators,minor,4147650,0.4,44330,0.3,Transportation and Material Moving Occupations,22
1327,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",broad,11710,5.7,31060,2.2,Transportation and Material Moving Occupations,22
1328,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",detailed,11710,5.7,31060,2.2,Transportation and Material Moving Occupations,22
1329,Driver/Sales Workers and Truck Drivers,broad,3390490,0.5,45460,0.3,Transportation and Material Moving Occupations,22
1330,Driver/Sales Workers,detailed,477020,2.4,31970,0.8,Transportation and Material Moving Occupations,22
1331,Heavy and Tractor-Trailer Truck Drivers,detailed,1903420,0.5,50340,0.3,Transportation and Material Moving Occupations,22
1332,Light Truck Drivers,detailed,1010040,0.7,42630,0.3,Transportation and Material Moving Occupations,22
1333,Passenger Vehicle Drivers,broad,696760,0.7,39640,0.4,Transportation and Material Moving Occupations,22
1334,"Bus Drivers, School",detailed,361420,1.2,38750,0.7,Transportation and Material Moving Occupations,22
1335,"Bus Drivers, Transit and Intercity",detailed,145720,1.2,51310,0.4,Transportation and Material Moving Occupations,22
1336,Shuttle Drivers and Chauffeurs,detailed,175660,1.2,32570,0.3,Transportation and Material Moving Occupations,22
1337,Taxi Drivers,detailed,13950,4,30050,1.6,Transportation and Material Moving Occupations,22
1338,Miscellaneous Motor Vehicle Operators,broad,48690,3.3,36410,1.7,Transportation and Material Moving Occupations,22
1339,"Motor Vehicle Operators, All Other",detailed,48690,3.3,36410,1.7,Transportation and Material Moving Occupations,22
1340,Rail Transportation Workers,minor,119120,0.4,68330,0.4,Transportation and Material Moving Occupations,22
1341,Locomotive Engineers and Operators,broad,43440,1.3,71410,0.9,Transportation and Material Moving Occupations,22
1342,Locomotive Engineers,detailed,38980,1.3,72940,1,Transportation and Material Moving Occupations,22
1343,"Rail Yard Engineers, Dinkey Operators, and Hostlers",detailed,4460,4.5,58070,1,Transportation and Material Moving Occupations,22
1344,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",broad,16200,1.2,63050,0.5,Transportation and Material Moving Occupations,22
1345,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",detailed,16200,1.2,63050,0.5,Transportation and Material Moving Occupations,22
1346,Railroad Conductors and Yardmasters,broad,48030,0.4,66990,0.2,Transportation and Material Moving Occupations,22
1347,Railroad Conductors and Yardmasters,detailed,48030,0.4,66990,0.2,Transportation and Material Moving Occupations,22
1348,Subway and Streetcar Operators,broad,10310,1.1,71520,0.6,Transportation and Material Moving Occupations,22
1349,Subway and Streetcar Operators,detailed,10310,1.1,71520,0.6,Transportation and Material Moving Occupations,22
1350,Miscellaneous Rail Transportation Workers,broad,1140,12.3,54140,3.4,Transportation and Material Moving Occupations,22
1351,"Rail Transportation Workers, All Other",detailed,1140,12.3,54140,3.4,Transportation and Material Moving Occupations,22
1352,Water Transportation Workers,minor,70480,2.5,80780,1.7,Transportation and Material Moving Occupations,22
1353,Sailors and Marine Oilers,broad,26610,3.7,57800,2.7,Transportation and Material Moving Occupations,22
1354,Sailors and Marine Oilers,detailed,26610,3.7,57800,2.7,Transportation and Material Moving Occupations,22
1355,Ship and Boat Captains and Operators,broad,36220,3.2,94250,1.8,Transportation and Material Moving Occupations,22
1356,"Captains, Mates, and Pilots of Water Vessels",detailed,33490,3.4,98330,1.8,Transportation and Material Moving Occupations,22
1357,Motorboat Operators,detailed,2740,11,44410,2.8,Transportation and Material Moving Occupations,22
1358,Ship Engineers,broad,7650,4.2,96910,2.2,Transportation and Material Moving Occupations,22
1359,Ship Engineers,detailed,7650,4.2,96910,2.2,Transportation and Material Moving Occupations,22
1360,Other Transportation Workers,minor,286680,1.6,35900,0.5,Transportation and Material Moving Occupations,22
1361,Bridge and Lock Tenders,broad,4040,5,44760,1.6,Transportation and Material Moving Occupations,22
1362,Bridge and Lock Tenders,detailed,4040,5,44760,1.6,Transportation and Material Moving Occupations,22
1363,Parking Attendants,broad,91160,3.6,29210,0.9,Transportation and Material Moving Occupations,22
1364,Parking Attendants,detailed,91160,3.6,29210,0.9,Transportation and Material Moving Occupations,22
1365,Transportation Service Attendants,broad,123660,1.7,30810,0.4,Transportation and Material Moving Occupations,22
1366,Automotive and Watercraft Service Attendants,detailed,111480,1.7,29960,0.3,Transportation and Material Moving Occupations,22
1367,Aircraft Service Attendants,detailed,12170,6.7,38640,1.4,Transportation and Material Moving Occupations,22
1368,Traffic Technicians,broad,7770,6.3,53210,2,Transportation and Material Moving Occupations,22
1369,Traffic Technicians,detailed,7770,6.3,53210,2,Transportation and Material Moving Occupations,22
1370,Transportation Inspectors,broad,25070,2,77620,1.1,Transportation and Material Moving Occupations,22
1371,Transportation Inspectors,detailed,25070,2,77620,1.1,Transportation and Material Moving Occupations,22
1372,Passenger Attendants,broad,21240,7.1,34380,1.6,Transportation and Material Moving Occupations,22
1373,Passenger Attendants,detailed,21240,7.1,34380,1.6,Transportation and Material Moving Occupations,22
1374,Miscellaneous Transportation Workers,broad,13750,4.7,39990,1.3,Transportation and Material Moving Occupations,22
1375,"Transportation Workers, All Other",detailed,13750,4.7,39990,1.3,Transportation and Material Moving Occupations,22
1376,Material Moving Workers,minor,7203320,0.3,34900,0.2,Transportation and Material Moving Occupations,22
1377,Conveyor Operators and Tenders,broad,28650,2.8,37010,0.5,Transportation and Material Moving Occupations,22
1378,Conveyor Operators and Tenders,detailed,28650,2.8,37010,0.5,Transportation and Material Moving Occupations,22
1379,Crane and Tower Operators,broad,43400,3.7,65270,1.4,Transportation and Material Moving Occupations,22
1380,Crane and Tower Operators,detailed,43400,3.7,65270,1.4,Transportation and Material Moving Occupations,22
1381,Dredge Operators,broad,1650,10.1,50530,2.8,Transportation and Material Moving Occupations,22
1382,Dredge Operators,detailed,1650,10.1,50530,2.8,Transportation and Material Moving Occupations,22
1383,Hoist and Winch Operators,broad,2610,6.4,58450,1.8,Transportation and Material Moving Occupations,22
1384,Hoist and Winch Operators,detailed,2610,6.4,58450,1.8,Transportation and Material Moving Occupations,22
1385,Industrial Truck and Tractor Operators,broad,758290,0.7,40950,0.2,Transportation and Material Moving Occupations,22
1386,Industrial Truck and Tractor Operators,detailed,758290,0.7,40950,0.2,Transportation and Material Moving Occupations,22
1387,Laborers and Material Movers,broad,6178560,0.3,33570,0.2,Transportation and Material Moving Occupations,22
1388,Cleaners of Vehicles and Equipment,detailed,351960,0.7,30550,0.3,Transportation and Material Moving Occupations,22
1389,"Laborers and Freight, Stock, and Material Movers, Hand",detailed,2729010,0.6,34950,0.2,Transportation and Material Moving Occupations,22
1390,Machine Feeders and Offbearers,detailed,60880,2.4,36660,0.4,Transportation and Material Moving Occupations,22
1391,"Packers and Packagers, Hand",detailed,585270,1,30950,0.3,Transportation and Material Moving Occupations,22
1392,Stockers and Order Fillers,detailed,2451430,0.4,33020,0.2,Transportation and Material Moving Occupations,22
1393,Pumping Station Operators,broad,29550,4.5,62590,1.3,Transportation and Material Moving Occupations,22
1394,Gas Compressor and Gas Pumping Station Operators,detailed,2910,6.1,67130,1.6,Transportation and Material Moving Occupations,22
1395,"Pump Operators, Except Wellhead Pumpers",detailed,10600,7.2,54400,2.4,Transportation and Material Moving Occupations,22
1396,Wellhead Pumpers,detailed,16040,7,67170,1.7,Transportation and Material Moving Occupations,22
1397,Refuse and Recyclable Material Collectors,broad,126050,1.5,42780,0.7,Transportation and Material Moving Occupations,22
1398,Refuse and Recyclable Material Collectors,detailed,126050,1.5,42780,0.7,Transportation and Material Moving Occupations,22
1399,"Tank Car, Truck, and Ship Loaders",broad,12090,6.8,55330,2.6,Transportation and Material Moving Occupations,22
1400,"Tank Car, Truck, and Ship Loaders",detailed,12090,6.8,55330,2.6,Transportation and Material Moving Occupations,22
1401,Miscellaneous Material Moving Workers,broad,22470,4.7,40190,1.8,Transportation and Material Moving Occupations,22
1402,"Material Moving Workers, All Other",detailed,22470,4.7,40190,1.8,Transportation and Material Moving Occupations,22
