"year","period","periodName","Employment among men 35-44 (%)","Employment among women 35-44 (%)","date"
1948,1,"January",95.7,35,"1948-01-01"
1948,2,"February",95.5,36.1,"1948-02-01"
1948,3,"March",95.3,36.2,"1948-03-01"
1948,4,"April",95.2,35.7,"1948-04-01"
1948,5,"May",95.5,34.9,"1948-05-01"
1948,6,"June",95.4,36.4,"1948-06-01"
1948,7,"July",95.6,36.2,"1948-07-01"
1948,8,"August",95.6,35.9,"1948-08-01"
1948,9,"September",95.5,36.6,"1948-09-01"
1948,10,"October",95.8,35.3,"1948-10-01"
1948,11,"November",95.8,35.2,"1948-11-01"
1948,12,"December",95.7,35.9,"1948-12-01"
1949,1,"January",95.2,36.2,"1949-01-01"
1949,2,"February",94.7,36.1,"1949-02-01"
1949,3,"March",94.6,35.6,"1949-03-01"
1949,4,"April",94.4,36.1,"1949-04-01"
1949,5,"May",93.7,36.5,"1949-05-01"
1949,6,"June",94,36.6,"1949-06-01"
1949,7,"July",93.3,36.5,"1949-07-01"
1949,8,"August",93.4,36.7,"1949-08-01"
1949,9,"September",93.1,36.3,"1949-09-01"
1949,10,"October",92.8,35.9,"1949-10-01"
1949,11,"November",93.1,36.5,"1949-11-01"
1949,12,"December",93,36.2,"1949-12-01"
1950,1,"January",93.4,35.6,"1950-01-01"
1950,2,"February",93.3,36.3,"1950-02-01"
1950,3,"March",93.1,35.8,"1950-03-01"
1950,4,"April",93.4,36.9,"1950-04-01"
1950,5,"May",93.8,36.6,"1950-05-01"
1950,6,"June",94.3,37.5,"1950-06-01"
1950,7,"July",94.2,37.8,"1950-07-01"
1950,8,"August",94.5,39.5,"1950-08-01"
1950,9,"September",94.8,37.9,"1950-09-01"
1950,10,"October",94.9,38.2,"1950-10-01"
1950,11,"November",95.1,38.5,"1950-11-01"
1950,12,"December",94.7,37.6,"1950-12-01"
1951,1,"January",94.6,38,"1951-01-01"
1951,2,"February",95.6,37.6,"1951-02-01"
1951,3,"March",96.2,38.4,"1951-03-01"
1951,4,"April",96,38,"1951-04-01"
1951,5,"May",95.7,38.6,"1951-05-01"
1951,6,"June",95.3,38.1,"1951-06-01"
1951,7,"July",95.6,38.5,"1951-07-01"
1951,8,"August",94.9,38.3,"1951-08-01"
1951,9,"September",95.7,37.6,"1951-09-01"
1951,10,"October",96.1,38.9,"1951-10-01"
1951,11,"November",95.4,38.3,"1951-11-01"
1951,12,"December",96.1,39,"1951-12-01"
1952,1,"January",96.2,38.8,"1952-01-01"
