"year","period","periodName","Employment among men 35-44 (%)","Employment among women 35-44 (%)","date"
1952,2,"February",96.2,39.1,"1952-02-01"
1952,3,"March",96.2,39.1,"1952-03-01"
1952,4,"April",96.2,39.1,"1952-04-01"
1952,5,"May",96.1,39.4,"1952-05-01"
1952,6,"June",95.9,39.1,"1952-06-01"
1952,7,"July",95.8,38.8,"1952-07-01"
1952,8,"August",95.3,38.8,"1952-08-01"
1952,9,"September",95.8,40.2,"1952-09-01"
1952,10,"October",95.8,38.1,"1952-10-01"
1952,11,"November",95.7,40.1,"1952-11-01"
1952,12,"December",96,40.3,"1952-12-01"
1953,1,"January",96.3,41.3,"1953-01-01"
1953,2,"February",96,40.7,"1953-02-01"
1953,3,"March",96.5,41.6,"1953-03-01"
1953,4,"April",95.7,40.2,"1953-04-01"
1953,5,"May",96.5,40.4,"1953-05-01"
1953,6,"June",96.7,39.9,"1953-06-01"
1953,7,"July",95.8,39.2,"1953-07-01"
1953,8,"August",97.2,39.6,"1953-08-01"
1953,9,"September",96.5,39.1,"1953-09-01"
1953,10,"October",95.8,39.7,"1953-10-01"
1953,11,"November",96.2,41.2,"1953-11-01"
1953,12,"December",95.4,40.2,"1953-12-01"
1954,1,"January",94.8,38.3,"1954-01-01"
1954,2,"February",94.4,39.8,"1954-02-01"
1954,3,"March",94,39.5,"1954-03-01"
1954,4,"April",93.9,39,"1954-04-01"
1954,5,"May",93.7,38.3,"1954-05-01"
1954,6,"June",94,38.5,"1954-06-01"
1954,7,"July",93.9,38.5,"1954-07-01"
1954,8,"August",94.1,39,"1954-08-01"
1954,9,"September",93.2,39.4,"1954-09-01"
1954,10,"October",94,39.4,"1954-10-01"
1954,11,"November",94.5,39.4,"1954-11-01"
1954,12,"December",94.1,39.6,"1954-12-01"
1955,1,"January",94.2,39.2,"1955-01-01"
1955,2,"February",94.1,38.9,"1955-02-01"
1955,3,"March",94.5,38.3,"1955-03-01"
1955,4,"April",94.3,39.8,"1955-04-01"
1955,5,"May",94.8,39.3,"1955-05-01"
1955,6,"June",94.9,39.8,"1955-06-01"
1955,7,"July",95.3,40.5,"1955-07-01"
1955,8,"August",95.4,41,"1955-08-01"
1955,9,"September",95.5,40.8,"1955-09-01"
1955,10,"October",95.8,40.2,"1955-10-01"
1955,11,"November",95.8,40.7,"1955-11-01"
1955,12,"December",96,40.7,"1955-12-01"
1956,1,"January",95.8,41.3,"1956-01-01"
1956,2,"February",95.9,40.7,"1956-02-01"
1956,3,"March",95.6,40.7,"1956-03-01"
1956,4,"April",95.8,41.1,"1956-04-01"
1956,5,"May",95.1,42.3,"1956-05-01"
1956,6,"June",95,42.1,"1956-06-01"
1956,7,"July",95,41.8,"1956-07-01"
1956,8,"August",95,41.2,"1956-08-01"
1956,9,"September",95.3,41.8,"1956-09-01"
1956,10,"October",95.4,41.4,"1956-10-01"
1956,11,"November",95.2,41.2,"1956-11-01"
1956,12,"December",95.2,41.2,"1956-12-01"
1957,1,"January",95.5,40.9,"1957-01-01"
1957,2,"February",95.6,42.1,"1957-02-01"
1957,3,"March",95.6,41.6,"1957-03-01"
1957,4,"April",95.4,41.5,"1957-04-01"
1957,5,"May",95.6,41.4,"1957-05-01"
1957,6,"June",95.5,41.3,"1957-06-01"
1957,7,"July",95.5,41.6,"1957-07-01"
1957,8,"August",95.4,41.7,"1957-08-01"
1957,9,"September",95,41.5,"1957-09-01"
1957,10,"October",94.5,41.9,"1957-10-01"
1957,11,"November",94,42,"1957-11-01"
1957,12,"December",93.7,41.8,"1957-12-01"
1958,1,"January",93.2,41.1,"1958-01-01"
1958,2,"February",92.4,40,"1958-02-01"
1958,3,"March",92.5,40.7,"1958-03-01"
1958,4,"April",92.5,40.2,"1958-04-01"
1958,5,"May",92.5,40.7,"1958-05-01"
1958,6,"June",92.8,40.5,"1958-06-01"
1958,7,"July",92.5,41,"1958-07-01"
1958,8,"August",92.9,41.1,"1958-08-01"
1958,9,"September",93.2,40.9,"1958-09-01"
1958,10,"October",93.4,40.8,"1958-10-01"
1958,11,"November",93.4,40.8,"1958-11-01"
1958,12,"December",93.5,40.7,"1958-12-01"
1959,1,"January",93.8,41,"1959-01-01"
1959,2,"February",93.2,41.3,"1959-02-01"
1959,3,"March",94.4,41.1,"1959-03-01"
1959,4,"April",94.6,41.1,"1959-04-01"
1959,5,"May",94.6,40.8,"1959-05-01"
1959,6,"June",94.4,41.1,"1959-06-01"
1959,7,"July",94.2,41.2,"1959-07-01"
1959,8,"August",94,40.9,"1959-08-01"
1959,9,"September",93.8,41,"1959-09-01"
1959,10,"October",94.3,41.4,"1959-10-01"
1959,11,"November",93.3,41.4,"1959-11-01"
1959,12,"December",94.6,41.6,"1959-12-01"
1960,1,"January",94.3,41.3,"1960-01-01"
1960,2,"February",94.8,41.1,"1960-02-01"
1960,3,"March",94.2,40.5,"1960-03-01"
1960,4,"April",94.2,42,"1960-04-01"
1960,5,"May",94.1,41.9,"1960-05-01"
1960,6,"June",93.9,41.7,"1960-06-01"
1960,7,"July",94,41.2,"1960-07-01"
1960,8,"August",93.8,41.7,"1960-08-01"
1960,9,"September",93.9,41.6,"1960-09-01"
1960,10,"October",93.5,40.7,"1960-10-01"
1960,11,"November",93.5,41.7,"1960-11-01"
1960,12,"December",93.2,40.7,"1960-12-01"
1961,1,"January",92.8,41.6,"1961-01-01"
1961,2,"February",92.6,41.6,"1961-02-01"
1961,3,"March",92.7,41.6,"1961-03-01"
1961,4,"April",92.9,41.6,"1961-04-01"
1961,5,"May",92.6,41.4,"1961-05-01"
1961,6,"June",93.2,41.3,"1961-06-01"
1961,7,"July",93.3,41,"1961-07-01"
1961,8,"August",92.9,41.3,"1961-08-01"
1961,9,"September",93.2,40.5,"1961-09-01"
1961,10,"October",93.4,40.5,"1961-10-01"
1961,11,"November",93.6,40,"1961-11-01"
1961,12,"December",93.7,40.2,"1961-12-01"
1962,1,"January",93.4,40.9,"1962-01-01"
1962,2,"February",93.9,41.2,"1962-02-01"
1962,3,"March",93.9,41.6,"1962-03-01"
1962,4,"April",93.6,42.1,"1962-04-01"
1962,5,"May",94.1,42.1,"1962-05-01"
1962,6,"June",93.7,41.9,"1962-06-01"
1962,7,"July",94.1,41.7,"1962-07-01"
1962,8,"August",94.4,41.6,"1962-08-01"
1962,9,"September",94.3,42.4,"1962-09-01"
1962,10,"October",94.5,42.1,"1962-10-01"
1962,11,"November",94.3,42,"1962-11-01"
1962,12,"December",94.4,42.3,"1962-12-01"
1963,1,"January",94.3,42.5,"1963-01-01"
1963,2,"February",93.8,42.4,"1963-02-01"
1963,3,"March",94.2,42.7,"1963-03-01"
1963,4,"April",94.2,42.4,"1963-04-01"
1963,5,"May",94,42.6,"1963-05-01"
1963,6,"June",93.9,42.6,"1963-06-01"
1963,7,"July",93.9,42.9,"1963-07-01"
1963,8,"August",94.1,42.7,"1963-08-01"
1963,9,"September",94.6,42.6,"1963-09-01"
1963,10,"October",94.3,42.8,"1963-10-01"
1963,11,"November",94,42.6,"1963-11-01"
1963,12,"December",94,42.2,"1963-12-01"
1964,1,"January",94.5,42,"1964-01-01"
1964,2,"February",94.4,42,"1964-02-01"
1964,3,"March",94.4,42.2,"1964-03-01"
1964,4,"April",94.5,42.4,"1964-04-01"
1964,5,"May",94.8,43.8,"1964-05-01"
1964,6,"June",94.7,44.2,"1964-06-01"
1964,7,"July",94.6,43.2,"1964-07-01"
1964,8,"August",94.3,42.8,"1964-08-01"
1964,9,"September",94.3,42.1,"1964-09-01"
1964,10,"October",94.1,42.7,"1964-10-01"
1964,11,"November",94.6,42.6,"1964-11-01"
1964,12,"December",94.3,42.9,"1964-12-01"
1965,1,"January",94.5,43.2,"1965-01-01"
1965,2,"February",94.6,43.3,"1965-02-01"
1965,3,"March",94.5,43.5,"1965-03-01"
1965,4,"April",94.4,44.1,"1965-04-01"
1965,5,"May",94.4,44.1,"1965-05-01"
1965,6,"June",94.8,44.5,"1965-06-01"
1965,7,"July",94.8,44.1,"1965-07-01"
1965,8,"August",95.1,44.8,"1965-08-01"
1965,9,"September",95.2,43.9,"1965-09-01"
1965,10,"October",95.2,44,"1965-10-01"
1965,11,"November",95.3,43.9,"1965-11-01"
1965,12,"December",95.4,44.4,"1965-12-01"
1966,1,"January",95.2,44.5,"1966-01-01"
1966,2,"February",95.3,44.6,"1966-02-01"
1966,3,"March",95.6,44.6,"1966-03-01"
1966,4,"April",95.7,44.3,"1966-04-01"
1966,5,"May",95.9,44.5,"1966-05-01"
1966,6,"June",95.3,44.9,"1966-06-01"
1966,7,"July",95.2,44.9,"1966-07-01"
1966,8,"August",95.1,45.5,"1966-08-01"
1966,9,"September",95.2,45.8,"1966-09-01"
1966,10,"October",95,45.7,"1966-10-01"
1966,11,"November",95,46.4,"1966-11-01"
1966,12,"December",95.2,46.3,"1966-12-01"
1967,1,"January",95.8,45.4,"1967-01-01"
1967,2,"February",95.7,45.7,"1967-02-01"
1967,3,"March",95.8,45.5,"1967-03-01"
1967,4,"April",95.7,45.9,"1967-04-01"
1967,5,"May",95.7,45.8,"1967-05-01"
1967,6,"June",95.6,46.1,"1967-06-01"
1967,7,"July",95.7,46.4,"1967-07-01"
1967,8,"August",95.6,46.6,"1967-08-01"
1967,9,"September",95.5,46.4,"1967-09-01"
1967,10,"October",95.5,46.3,"1967-10-01"
1967,11,"November",95.6,46.5,"1967-11-01"
1967,12,"December",95.7,47.1,"1967-12-01"
1968,1,"January",95.3,46.2,"1968-01-01"
1968,2,"February",95.5,46.7,"1968-02-01"
1968,3,"March",95.5,47.1,"1968-03-01"
1968,4,"April",95.6,46.8,"1968-04-01"
1968,5,"May",95.7,47.7,"1968-05-01"
1968,6,"June",95.8,47.3,"1968-06-01"
1968,7,"July",95.5,46.7,"1968-07-01"
1968,8,"August",95.7,47.4,"1968-08-01"
1968,9,"September",95.7,47.9,"1968-09-01"
1968,10,"October",95.6,47.6,"1968-10-01"
1968,11,"November",95.2,47.7,"1968-11-01"
1968,12,"December",96,47.7,"1968-12-01"
1969,1,"January",95.9,47.4,"1969-01-01"
1969,2,"February",96,47.6,"1969-02-01"
1969,3,"March",95.8,47.7,"1969-03-01"
1969,4,"April",95.5,47.2,"1969-04-01"
1969,5,"May",95.2,48,"1969-05-01"
1969,6,"June",95.2,48.2,"1969-06-01"
1969,7,"July",95.3,48.3,"1969-07-01"
1969,8,"August",95.7,48.3,"1969-08-01"
1969,9,"September",95.3,48.6,"1969-09-01"
1969,10,"October",95.3,49,"1969-10-01"
1969,11,"November",95.3,49,"1969-11-01"
1969,12,"December",95.3,49.3,"1969-12-01"
1970,1,"January",95.1,49.4,"1970-01-01"
1970,2,"February",95,49.1,"1970-02-01"
1970,3,"March",95,48.7,"1970-03-01"
1970,4,"April",95.2,49.5,"1970-04-01"
1970,5,"May",94.9,48.7,"1970-05-01"
1970,6,"June",94.8,48.8,"1970-06-01"
1970,7,"July",94.3,49,"1970-07-01"
1970,8,"August",94.1,48.8,"1970-08-01"
1970,9,"September",94.1,48.7,"1970-09-01"
1970,10,"October",94.1,48.6,"1970-10-01"
1970,11,"November",93.9,48.6,"1970-11-01"
1970,12,"December",93.5,48.5,"1970-12-01"
1971,1,"January",93.6,48.9,"1971-01-01"
1971,2,"February",93.5,49.4,"1971-02-01"
1971,3,"March",93.6,48.8,"1971-03-01"
1971,4,"April",93.5,48.6,"1971-04-01"
1971,5,"May",93.5,48.7,"1971-05-01"
1971,6,"June",93.5,48.8,"1971-06-01"
1971,7,"July",93.7,48.5,"1971-07-01"
1971,8,"August",93.4,48.8,"1971-08-01"
1971,9,"September",93.5,48.8,"1971-09-01"
1971,10,"October",93.6,48.6,"1971-10-01"
1971,11,"November",93.7,49.4,"1971-11-01"
1971,12,"December",93.1,49.4,"1971-12-01"
1972,1,"January",93,49.6,"1972-01-01"
1972,2,"February",93.6,49.3,"1972-02-01"
1972,3,"March",93.3,49.6,"1972-03-01"
1972,4,"April",93.6,49.4,"1972-04-01"
1972,5,"May",93.7,49.4,"1972-05-01"
1972,6,"June",93.9,48.9,"1972-06-01"
1972,7,"July",93.9,48.9,"1972-07-01"
1972,8,"August",93.9,49.2,"1972-08-01"
1972,9,"September",93.8,49.3,"1972-09-01"
1972,10,"October",93.5,49.4,"1972-10-01"
1972,11,"November",94,50.1,"1972-11-01"
1972,12,"December",94.5,50.1,"1972-12-01"
1973,1,"January",94.2,50,"1973-01-01"
1973,2,"February",94.3,50.4,"1973-02-01"
1973,3,"March",94.2,50.9,"1973-03-01"
1973,4,"April",94.2,51.1,"1973-04-01"
1973,5,"May",94.2,51.5,"1973-05-01"
1973,6,"June",94,52.3,"1973-06-01"
1973,7,"July",94.4,51.3,"1973-07-01"
1973,8,"August",94.2,51.3,"1973-08-01"
1973,9,"September",94.3,51.4,"1973-09-01"
1973,10,"October",94.4,51.7,"1973-10-01"
1973,11,"November",94.4,51.4,"1973-11-01"
1973,12,"December",93.9,51.5,"1973-12-01"
1974,1,"January",94.4,51.7,"1974-01-01"
1974,2,"February",94.3,51.7,"1974-02-01"
1974,3,"March",94.4,51.3,"1974-03-01"
1974,4,"April",93.7,51.8,"1974-04-01"
1974,5,"May",93.9,51.5,"1974-05-01"
1974,6,"June",93.8,52.5,"1974-06-01"
1974,7,"July",93.4,53.6,"1974-07-01"
1974,8,"August",93.5,52.7,"1974-08-01"
1974,9,"September",93.1,52.7,"1974-09-01"
1974,10,"October",93,52.4,"1974-10-01"
1974,11,"November",92.7,52.2,"1974-11-01"
1974,12,"December",92.2,52.3,"1974-12-01"
1975,1,"January",91.4,51.8,"1975-01-01"
1975,2,"February",91,51.5,"1975-02-01"
1975,3,"March",90.7,51.4,"1975-03-01"
1975,4,"April",90.5,51.6,"1975-04-01"
1975,5,"May",90.5,51.6,"1975-05-01"
1975,6,"June",91,51.6,"1975-06-01"
1975,7,"July",91.2,52.1,"1975-07-01"
1975,8,"August",91.2,52.7,"1975-08-01"
1975,9,"September",91.3,52.2,"1975-09-01"
1975,10,"October",91.1,52.5,"1975-10-01"
1975,11,"November",90.9,52.4,"1975-11-01"
1975,12,"December",90.9,52.8,"1975-12-01"
1976,1,"January",91.2,53.3,"1976-01-01"
1976,2,"February",91.3,54,"1976-02-01"
1976,3,"March",91.8,54,"1976-03-01"
1976,4,"April",91.7,53.9,"1976-04-01"
1976,5,"May",91.8,53.8,"1976-05-01"
1976,6,"June",91,54.6,"1976-06-01"
1976,7,"July",91.2,53.8,"1976-07-01"
1976,8,"August",91.4,54.6,"1976-08-01"
1976,9,"September",91.5,54.6,"1976-09-01"
1976,10,"October",91.4,54.8,"1976-10-01"
1976,11,"November",91.6,55.1,"1976-11-01"
1976,12,"December",91.6,55.2,"1976-12-01"
1977,1,"January",91.8,55.3,"1977-01-01"
1977,2,"February",91.8,55.2,"1977-02-01"
1977,3,"March",91.9,55.5,"1977-03-01"
1977,4,"April",92.3,55.9,"1977-04-01"
1977,5,"May",92.4,56,"1977-05-01"
1977,6,"June",92.1,56.1,"1977-06-01"
1977,7,"July",92.1,56.5,"1977-07-01"
1977,8,"August",92.4,56.3,"1977-08-01"
1977,9,"September",92.6,55.9,"1977-09-01"
1977,10,"October",92.6,56.4,"1977-10-01"
1977,11,"November",92.8,57.1,"1977-11-01"
1977,12,"December",93.3,57.4,"1977-12-01"
1978,1,"January",93.7,57.9,"1978-01-01"
1978,2,"February",93.2,57.9,"1978-02-01"
1978,3,"March",92.8,58.2,"1978-03-01"
1978,4,"April",92.8,58.3,"1978-04-01"
1978,5,"May",92.8,58.6,"1978-05-01"
1978,6,"June",92.9,58.9,"1978-06-01"
1978,7,"July",92.9,58.2,"1978-07-01"
1978,8,"August",92.5,58.5,"1978-08-01"
1978,9,"September",92.8,58.9,"1978-09-01"
1978,10,"October",92.9,59.1,"1978-10-01"
1978,11,"November",93.3,59.1,"1978-11-01"
1978,12,"December",93,59,"1978-12-01"
1979,1,"January",93.2,58.8,"1979-01-01"
1979,2,"February",93.5,59.5,"1979-02-01"
1979,3,"March",93.6,60.1,"1979-03-01"
1979,4,"April",93,60.2,"1979-04-01"
1979,5,"May",93,60.3,"1979-05-01"
1979,6,"June",93.1,60.4,"1979-06-01"
1979,7,"July",93.2,60.7,"1979-07-01"
1979,8,"August",92.9,61,"1979-08-01"
1979,9,"September",92.6,61.6,"1979-09-01"
1979,10,"October",92.6,62,"1979-10-01"
1979,11,"November",92.5,61.5,"1979-11-01"
1979,12,"December",92.7,62.2,"1979-12-01"
1980,1,"January",92.5,61.9,"1980-01-01"
1980,2,"February",92.1,62,"1980-02-01"
1980,3,"March",92.1,62.3,"1980-03-01"
1980,4,"April",91.7,62.1,"1980-04-01"
1980,5,"May",91.2,62.1,"1980-05-01"
1980,6,"June",91.1,62.2,"1980-06-01"
1980,7,"July",91.1,61.5,"1980-07-01"
1980,8,"August",90.8,61.6,"1980-08-01"
1980,9,"September",91.3,61.9,"1980-09-01"
1980,10,"October",91.6,61.7,"1980-10-01"
1980,11,"November",91.8,62.2,"1980-11-01"
1980,12,"December",91.6,62.2,"1980-12-01"
1981,1,"January",91.5,62.3,"1981-01-01"
1981,2,"February",90.9,62.8,"1981-02-01"
1981,3,"March",91.2,62.7,"1981-03-01"
1981,4,"April",91.4,62.8,"1981-04-01"
1981,5,"May",91.8,63.2,"1981-05-01"
1981,6,"June",91.2,62.9,"1981-06-01"
1981,7,"July",91.1,63.5,"1981-07-01"
1981,8,"August",91.4,63.5,"1981-08-01"
1981,9,"September",91.1,62.9,"1981-09-01"
1981,10,"October",90.6,63.3,"1981-10-01"
1981,11,"November",90.2,63.4,"1981-11-01"
1981,12,"December",89.9,63.3,"1981-12-01"
1982,1,"January",89.5,63.5,"1982-01-01"
1982,2,"February",89.9,63.3,"1982-02-01"
1982,3,"March",89.4,62.9,"1982-03-01"
1982,4,"April",89.4,62.9,"1982-04-01"
1982,5,"May",89.4,63.2,"1982-05-01"
1982,6,"June",89.1,63.6,"1982-06-01"
1982,7,"July",88.9,63.6,"1982-07-01"
1982,8,"August",88.6,63.6,"1982-08-01"
1982,9,"September",88.3,63.3,"1982-09-01"
1982,10,"October",88,63.1,"1982-10-01"
1982,11,"November",87.3,62.7,"1982-11-01"
1982,12,"December",87.1,62.8,"1982-12-01"
1983,1,"January",87.4,63.5,"1983-01-01"
1983,2,"February",87.4,63.4,"1983-02-01"
1983,3,"March",88,63.4,"1983-03-01"
1983,4,"April",87.9,63.6,"1983-04-01"
1983,5,"May",87.9,62.9,"1983-05-01"
1983,6,"June",88.4,63.4,"1983-06-01"
1983,7,"July",88.7,63.8,"1983-07-01"
1983,8,"August",88.7,64.4,"1983-08-01"
1983,9,"September",88.8,64.6,"1983-09-01"
1983,10,"October",89.1,64.7,"1983-10-01"
1983,11,"November",89.5,64.8,"1983-11-01"
1983,12,"December",90.1,65,"1983-12-01"
1984,1,"January",90.3,64.8,"1984-01-01"
1984,2,"February",90.7,65.6,"1984-02-01"
1984,3,"March",90.6,65.8,"1984-03-01"
1984,4,"April",90.2,66,"1984-04-01"
1984,5,"May",90.6,67.1,"1984-05-01"
1984,6,"June",90.5,66.5,"1984-06-01"
1984,7,"July",90.3,66.5,"1984-07-01"
1984,8,"August",89.7,66.4,"1984-08-01"
1984,9,"September",90.1,66.3,"1984-09-01"
1984,10,"October",90.3,66.4,"1984-10-01"
1984,11,"November",90.6,66.5,"1984-11-01"
1984,12,"December",91,66.8,"1984-12-01"
1985,1,"January",90.5,67,"1985-01-01"
1985,2,"February",90.2,67.1,"1985-02-01"
1985,3,"March",90.4,67.4,"1985-03-01"
1985,4,"April",90.4,67.5,"1985-04-01"
1985,5,"May",90.7,67.3,"1985-05-01"
1985,6,"June",90,67.8,"1985-06-01"
1985,7,"July",90.4,67.7,"1985-07-01"
1985,8,"August",90.5,67.8,"1985-08-01"
1985,9,"September",90.5,67.8,"1985-09-01"
1985,10,"October",90.7,68.6,"1985-10-01"
1985,11,"November",90.3,68.9,"1985-11-01"
1985,12,"December",90,68.9,"1985-12-01"
1986,1,"January",90.2,69,"1986-01-01"
1986,2,"February",89.3,68.7,"1986-02-01"
1986,3,"March",89.8,68.6,"1986-03-01"
1986,4,"April",90.1,68.6,"1986-04-01"
1986,5,"May",89.8,69,"1986-05-01"
1986,6,"June",89.9,69.2,"1986-06-01"
1986,7,"July",90.2,69.7,"1986-07-01"
1986,8,"August",90,70.3,"1986-08-01"
1986,9,"September",90.1,70.3,"1986-09-01"
1986,10,"October",90,70.2,"1986-10-01"
1986,11,"November",89.8,69.5,"1986-11-01"
1986,12,"December",90.2,70.4,"1986-12-01"
1987,1,"January",90.7,70.3,"1987-01-01"
1987,2,"February",90.4,70.6,"1987-02-01"
1987,3,"March",90.3,70.6,"1987-03-01"
1987,4,"April",90.3,71.1,"1987-04-01"
1987,5,"May",90.2,71.6,"1987-05-01"
1987,6,"June",90.2,71.1,"1987-06-01"
1987,7,"July",90.3,71.1,"1987-07-01"
1987,8,"August",90.6,71,"1987-08-01"
1987,9,"September",90.7,71.2,"1987-09-01"
1987,10,"October",90.4,71.4,"1987-10-01"
1987,11,"November",90.6,71.5,"1987-11-01"
1987,12,"December",90.5,71.4,"1987-12-01"
1988,1,"January",90.5,71.3,"1988-01-01"
1988,2,"February",90.5,71,"1988-02-01"
1988,3,"March",90.5,72,"1988-03-01"
1988,4,"April",90.8,71.9,"1988-04-01"
1988,5,"May",90.7,71.4,"1988-05-01"
1988,6,"June",91,71.7,"1988-06-01"
1988,7,"July",91.2,71.9,"1988-07-01"
1988,8,"August",91.2,72,"1988-08-01"
1988,9,"September",91.2,72.5,"1988-09-01"
1988,10,"October",91,72.7,"1988-10-01"
1988,11,"November",91.1,73.4,"1988-11-01"
1988,12,"December",90.6,72.9,"1988-12-01"
1989,1,"January",90.9,73.6,"1989-01-01"
1989,2,"February",91.3,73.4,"1989-02-01"
1989,3,"March",91.1,73.3,"1989-03-01"
1989,4,"April",90.6,73.1,"1989-04-01"
1989,5,"May",91.1,73.3,"1989-05-01"
1989,6,"June",91.3,73,"1989-06-01"
1989,7,"July",91,72.8,"1989-07-01"
1989,8,"August",90.7,73.1,"1989-08-01"
1989,9,"September",90.7,72.5,"1989-09-01"
1989,10,"October",90.9,72.8,"1989-10-01"
1989,11,"November",90.7,72.8,"1989-11-01"
1989,12,"December",91.3,73.3,"1989-12-01"
1990,1,"January",91.3,73.6,"1990-01-01"
1990,2,"February",91.7,73.6,"1990-02-01"
1990,3,"March",91.3,73.5,"1990-03-01"
1990,4,"April",91,73.3,"1990-04-01"
1990,5,"May",90.7,73.7,"1990-05-01"
1990,6,"June",90.5,73,"1990-06-01"
1990,7,"July",90.2,73.3,"1990-07-01"
1990,8,"August",90.2,73.3,"1990-08-01"
1990,9,"September",89.9,72.8,"1990-09-01"
1990,10,"October",90,72.9,"1990-10-01"
1990,11,"November",89.7,72.7,"1990-11-01"
1990,12,"December",89.8,72.5,"1990-12-01"
1991,1,"January",90.1,72.6,"1991-01-01"
1991,2,"February",89.7,72.7,"1991-02-01"
1991,3,"March",89.3,72.4,"1991-03-01"
1991,4,"April",89.2,72.8,"1991-04-01"
1991,5,"May",88.6,72.7,"1991-05-01"
1991,6,"June",88.9,73.2,"1991-06-01"
1991,7,"July",88.7,72.9,"1991-07-01"
1991,8,"August",88.7,72.9,"1991-08-01"
1991,9,"September",88.8,73.4,"1991-09-01"
1991,10,"October",88.4,72.9,"1991-10-01"
1991,11,"November",88.6,72.9,"1991-11-01"
1991,12,"December",88.2,73.1,"1991-12-01"
1992,1,"January",88.2,73,"1992-01-01"
1992,2,"February",87.6,72.7,"1992-02-01"
1992,3,"March",88,72.6,"1992-03-01"
1992,4,"April",88.1,72.5,"1992-04-01"
1992,5,"May",88.1,72.4,"1992-05-01"
1992,6,"June",88.2,72.5,"1992-06-01"
1992,7,"July",88.1,72.5,"1992-07-01"
1992,8,"August",88.1,72.5,"1992-08-01"
1992,9,"September",88,72.3,"1992-09-01"
1992,10,"October",87.7,72.3,"1992-10-01"
1992,11,"November",87.7,72.6,"1992-11-01"
1992,12,"December",87.8,72.1,"1992-12-01"
1993,1,"January",88.1,72.1,"1993-01-01"
1993,2,"February",87.9,72.2,"1993-02-01"
1993,3,"March",88,72.3,"1993-03-01"
1993,4,"April",88.1,72.2,"1993-04-01"
1993,5,"May",88.3,72.3,"1993-05-01"
1993,6,"June",88.4,72.8,"1993-06-01"
1993,7,"July",88.4,72.9,"1993-07-01"
1993,8,"August",88.6,73.2,"1993-08-01"
1993,9,"September",88.2,72.5,"1993-09-01"
1993,10,"October",87.9,72.1,"1993-10-01"
1993,11,"November",88.2,72.4,"1993-11-01"
1993,12,"December",87.9,72.8,"1993-12-01"
1994,1,"January",88,72.9,"1994-01-01"
1994,2,"February",88.1,73.5,"1994-02-01"
1994,3,"March",88.2,73.2,"1994-03-01"
1994,4,"April",88.9,73.3,"1994-04-01"
1994,5,"May",89.1,73.5,"1994-05-01"
1994,6,"June",88.7,73,"1994-06-01"
1994,7,"July",88.7,73.3,"1994-07-01"
1994,8,"August",88,73.3,"1994-08-01"
1994,9,"September",88.6,73.6,"1994-09-01"
1994,10,"October",88.7,73.8,"1994-10-01"
1994,11,"November",88.6,73.9,"1994-11-01"
1994,12,"December",89.4,73.9,"1994-12-01"
