,OCC_TITLE,TOT_EMP,A_MEAN,Target,Target_Num,Total Employed,Women (%),Men (%)
0,chief executives,200480,213020,Management Occupations,1,1664,29.1,70.9
1,general and operations managers,2984920,115250,Management Occupations,1,1085,36.4,63.6
2,advertising and promotions managers,22520,142860,Management Occupations,1,72,42.4,57.6
3,marketing managers,278690,153440,Management Occupations,1,576,61.4,38.6
4,sales managers,453800,142390,Management Occupations,1,537,30.6,69.4
5,administrative services managers,224620,113030,Management Occupations,1,60,79,21
6,facilities managers,101230,101970,Management Occupations,1,146,21.3,78.7
7,computer and information systems managers,485190,162930,Management Occupations,1,715,26.7,73.3
8,financial managers,681070,153460,Management Occupations,1,1307,54.6,45.4
9,industrial production managers,192270,117780,Management Occupations,1,256,24.1,75.9
10,purchasing managers,69310,134590,Management Occupations,1,232,45.9,54.1
11,"transportation, storage, and distribution managers",144640,105580,Management Occupations,1,314,22.4,77.6
12,human resources managers,166530,136590,Management Occupations,1,273,80.8,19.200000000000003
13,training and development managers,35830,128800,Management Occupations,1,55,59.9,40.1
14,"farmers, ranchers, and other agricultural managers",5220,78440,Management Occupations,1,875,26.3,73.7
15,construction managers,284750,108210,Management Occupations,1,999,8.6,91.4
16,architectural and engineering managers,187100,158970,Management Occupations,1,178,11.5,88.5
17,food service managers,210680,63970,Management Occupations,1,1133,48.5,51.5
18,lodging managers,35920,67770,Management Occupations,1,116,47.6,52.4
19,medical and health services managers,436770,119840,Management Occupations,1,791,75,25
20,"property, real estate, and community association managers",234680,70030,Management Occupations,1,780,50.7,49.3
21,social and community service managers,156400,76790,Management Occupations,1,391,68.6,31.400000000000006
22,"managers, all other",497890,129710,Management Occupations,1,5235,36.4,63.6
23,compliance officers,334340,75810,Business and Financial Operations Occupations,2,291,53.2,46.8
24,cost estimators,208950,73740,Business and Financial Operations Occupations,2,127,15.5,84.5
25,logisticians,189320,79230,Business and Financial Operations Occupations,2,132,39.3,60.7
26,project management specialists,743860,98420,Business and Financial Operations Occupations,2,769,42.9,57.1
27,management analysts,768450,100530,Business and Financial Operations Occupations,2,1001,45.5,54.5
28,"meeting, convention, and event planners",98150,57850,Business and Financial Operations Occupations,2,116,82.1,17.900000000000006
29,fundraisers,82080,64870,Business and Financial Operations Occupations,2,93,73.3,26.700000000000003
30,"compensation, benefits, and job analysis specialists",87750,73810,Business and Financial Operations Occupations,2,67,71.2,28.799999999999997
31,training and development specialists,336030,67620,Business and Financial Operations Occupations,2,166,52.9,47.1
32,market research analysts and marketing specialists,727540,76080,Business and Financial Operations Occupations,2,400,63.6,36.4
33,"business operations specialists, all other",1030330,79240,Business and Financial Operations Occupations,2,584,59.2,40.8
34,accountants and auditors,1318550,83980,Business and Financial Operations Occupations,2,1630,62,38
35,property appraisers and assessors,58340,70050,Business and Financial Operations Occupations,2,80,30.4,69.6
36,budget analysts,47440,84240,Business and Financial Operations Occupations,2,61,55.6,44.4
37,financial and investment analysts,291880,103020,Business and Financial Operations Occupations,2,343,40.2,59.8
38,personal financial advisors,263030,119960,Business and Financial Operations Occupations,2,535,33.8,66.2
39,insurance underwriters,107690,79940,Business and Financial Operations Occupations,2,128,61.4,38.6
40,"tax examiners and collectors, and revenue agents",52270,63200,Business and Financial Operations Occupations,2,63,54.8,45.2
41,tax preparers,83190,51080,Business and Financial Operations Occupations,2,101,54.2,45.8
42,computer systems analysts,505150,102210,Computer and Mathematical Occupations,3,464,37.5,62.5
43,information security analysts,157220,113270,Computer and Mathematical Occupations,3,152,18.2,81.8
