"year","period","periodName","Total Employment (%)","Employment among men (%)","Employment among women (%)","date"
1948,1,"January",56.6,83.8,30.9,"1948-01-01"
1948,2,"February",56.7,83.9,31,"1948-02-01"
1948,3,"March",56.1,83,30.7,"1948-03-01"
1948,4,"April",56.7,83.3,31.6,"1948-04-01"
1948,5,"May",56.2,83.1,30.9,"1948-05-01"
1948,6,"June",57,83.7,31.9,"1948-06-01"
1948,7,"July",57.1,83.8,32,"1948-07-01"
1948,8,"August",56.6,83.5,31.3,"1948-08-01"
1948,9,"September",56.6,83.2,31.7,"1948-09-01"
1948,10,"October",56.5,83.5,31.1,"1948-10-01"
1948,11,"November",56.5,83.3,31.3,"1948-11-01"
1948,12,"December",56.8,83.5,31.6,"1948-12-01"
1949,1,"January",56.2,82.8,31.2,"1949-01-01"
1949,2,"February",56.2,82.6,31.5,"1949-02-01"
1949,3,"March",56,82.1,31.5,"1949-03-01"
1949,4,"April",55.7,82,31,"1949-04-01"
1949,5,"May",55.4,81.3,31.1,"1949-05-01"
1949,6,"June",55,80.9,30.7,"1949-06-01"
1949,7,"July",55,80.4,31.1,"1949-07-01"
1949,8,"August",55.1,80.7,31.2,"1949-08-01"
1949,9,"September",55.3,81,31.1,"1949-09-01"
1949,10,"October",54.9,80,31.3,"1949-10-01"
1949,11,"November",55.6,81.2,31.6,"1949-11-01"
1949,12,"December",55.3,81,31.3,"1949-12-01"
1950,1,"January",55.1,80.7,31.1,"1950-01-01"
1950,2,"February",55.1,80.7,31.1,"1950-02-01"
1950,3,"March",55.1,80.7,31,"1950-03-01"
1950,4,"April",55.8,81.1,32.1,"1950-04-01"
1950,5,"May",55.8,81.6,31.6,"1950-05-01"
1950,6,"June",56.2,81.8,32.1,"1950-06-01"
1950,7,"July",56.1,82,31.8,"1950-07-01"
1950,8,"August",56.8,82.8,32.5,"1950-08-01"
1950,9,"September",56.6,82.9,32,"1950-09-01"
1950,10,"October",56.9,83,32.6,"1950-10-01"
1950,11,"November",56.9,83.1,32.6,"1950-11-01"
1950,12,"December",56.7,83,32.4,"1950-12-01"
1951,1,"January",56.9,83.1,32.7,"1951-01-01"
1951,2,"February",57,83.7,32.6,"1951-02-01"
1951,3,"March",57.7,84.5,33.3,"1951-03-01"
1951,4,"April",57.3,84.1,32.9,"1951-04-01"
1951,5,"May",57.6,84.5,33.2,"1951-05-01"
1951,6,"June",57.1,84,32.7,"1951-06-01"
1951,7,"July",57.6,83.9,33.8,"1951-07-01"
1951,8,"August",57.4,84.1,33.3,"1951-08-01"
1951,9,"September",57.1,84,32.9,"1951-09-01"
1951,10,"October",57.3,84.1,33.2,"1951-10-01"
1951,11,"November",57.1,83.8,33.1,"1951-11-01"
1951,12,"December",57.7,84.5,33.6,"1951-12-01"
