year,period,periodName,Total Employment (%),Employment among men (%),Employment among women (%),date
2010,4,April,58.7,64,53.7,4/1/2010
2010,5,May,58.6,63.9,53.6,5/1/2010
2010,6,June,58.5,63.8,53.6,6/1/2010
2010,7,July,58.5,63.9,53.5,7/1/2010
2010,8,August,58.6,63.9,53.5,8/1/2010
2010,9,September,58.5,63.8,53.5,9/1/2010
2010,10,October,58.3,63.6,53.3,10/1/2010
2010,11,November,58.2,63.4,53.4,11/1/2010
2010,12,December,58.3,63.6,53.3,12/1/2010
2011,1,January,58.3,63.7,53.3,1/1/2011
2011,2,February,58.4,63.8,53.2,2/1/2011
2011,3,March,58.4,63.8,53.4,3/1/2011
2011,4,April,58.4,63.7,53.3,4/1/2011
2011,5,May,58.3,63.8,53.2,5/1/2011
2011,6,June,58.2,63.7,53,6/1/2011
2011,7,July,58.2,63.6,53.1,7/1/2011
2011,8,August,58.3,63.9,53.1,8/1/2011
2011,9,September,58.4,63.9,53.2,9/1/2011
2011,10,October,58.4,63.9,53.3,10/1/2011
2011,11,November,58.6,64.3,53.2,11/1/2011
2011,12,December,58.6,64.4,53.1,12/1/2011
2012,1,January,58.4,64.3,52.9,1/1/2012
2012,2,February,58.5,64.3,53.1,2/1/2012
2012,3,March,58.5,64.3,53.2,3/1/2012
2012,4,April,58.4,64.3,53,4/1/2012
2012,5,May,58.5,64.3,53.1,5/1/2012
2012,6,June,58.6,64.4,53.2,6/1/2012
2012,7,July,58.5,64.3,53,7/1/2012
2012,8,August,58.4,64.1,53.1,8/1/2012
2012,9,September,58.7,64.5,53.3,9/1/2012
2012,10,October,58.8,64.7,53.3,10/1/2012
2012,11,November,58.7,64.6,53.2,11/1/2012
2012,12,December,58.7,64.6,53.2,12/1/2012
2013,1,January,58.6,64.5,53,1/1/2013
2013,2,February,58.6,64.5,53,2/1/2013
2013,3,March,58.5,64.5,52.9,3/1/2013
2013,4,April,58.6,64.4,53.2,4/1/2013
2013,5,May,58.6,64.4,53.2,5/1/2013
2013,6,June,58.6,64.5,53.2,6/1/2013
2013,7,July,58.7,64.4,53.4,7/1/2013
2013,8,August,58.7,64.3,53.5,8/1/2013
2013,9,September,58.7,64.4,53.3,9/1/2013
2013,10,October,58.3,64,52.9,10/1/2013
2013,11,November,58.6,64.5,53.1,11/1/2013
2013,12,December,58.7,64.5,53.2,12/1/2013
2014,1,January,58.8,64.5,53.4,1/1/2014
2014,2,February,58.7,64.3,53.6,2/1/2014
2014,3,March,58.9,64.8,53.4,3/1/2014
2014,4,April,58.9,64.6,53.5,4/1/2014
2014,5,May,58.9,64.6,53.5,5/1/2014
2014,6,June,59,64.9,53.5,6/1/2014
2014,7,July,59,65,53.4,7/1/2014
2014,8,August,59,65,53.4,8/1/2014
2014,9,September,59.1,65.2,53.4,9/1/2014
2014,10,October,59.3,65.3,53.7,10/1/2014
2014,11,November,59.2,65.1,53.7,11/1/2014
2014,12,December,59.3,65.3,53.6,12/1/2014
2015,1,January,59.3,65.3,53.7,1/1/2015
2015,2,February,59.2,65.3,53.6,2/1/2015
2015,3,March,59.2,65.3,53.6,3/1/2015
2015,4,April,59.3,65.5,53.6,4/1/2015
2015,5,May,59.4,65.5,53.8,5/1/2015
2015,6,June,59.4,65.3,53.8,6/1/2015
2015,7,July,59.3,65.4,53.6,7/1/2015
2015,8,August,59.4,65.4,53.8,8/1/2015
2015,9,September,59.2,65.3,53.5,9/1/2015
2015,10,October,59.3,65.3,53.7,10/1/2015
2015,11,November,59.4,65.2,54,11/1/2015
2015,12,December,59.6,65.5,54.1,12/1/2015
2016,1,January,59.7,65.7,54.1,1/1/2016
2016,2,February,59.8,65.9,54.1,2/1/2016
2016,3,March,59.8,65.9,54.2,3/1/2016
2016,4,April,59.7,65.8,54,4/1/2016
2016,5,May,59.7,65.7,54.1,5/1/2016
2016,6,June,59.7,65.9,53.9,6/1/2016
2016,7,July,59.8,65.8,54.1,7/1/2016
2016,8,August,59.8,65.9,54.1,8/1/2016
2016,9,September,59.7,65.8,54.1,9/1/2016
2016,10,October,59.7,65.7,54.1,10/1/2016
2016,11,November,59.7,65.7,54.1,11/1/2016
2016,12,December,59.7,65.7,54.1,12/1/2016
2017,1,January,59.9,65.9,54.2,1/1/2017
2017,2,February,60,65.9,54.4,2/1/2017
2017,3,March,60.2,66,54.7,3/1/2017
2017,4,April,60.2,66.2,54.6,4/1/2017
2017,5,May,60.1,66,54.5,5/1/2017
2017,6,June,60.1,66.1,54.6,6/1/2017
2017,7,July,60.2,66,54.8,7/1/2017
2017,8,August,60.1,66,54.6,8/1/2017
2017,9,September,60.4,66.3,54.8,9/1/2017
2017,10,October,60.1,66,54.5,10/1/2017
2017,11,November,60.1,65.9,54.6,11/1/2017
2017,12,December,60.1,66.1,54.5,12/1/2017
2018,1,January,60.2,66.3,54.5,1/1/2018
2018,2,February,60.4,66.6,54.7,2/1/2018
2018,3,March,60.4,66.5,54.7,3/1/2018
2018,4,April,60.4,66.5,54.7,4/1/2018
2018,5,May,60.5,66.5,54.8,5/1/2018
2018,6,June,60.4,66.3,54.9,6/1/2018
2018,7,July,60.5,66.3,55.2,7/1/2018
2018,8,August,60.3,66.1,54.8,8/1/2018
2018,9,September,60.4,66.1,55,9/1/2018
2018,10,October,60.5,66.2,55.1,10/1/2018
2018,11,November,60.5,66.4,55.1,11/1/2018
2018,12,December,60.6,66.2,55.2,12/1/2018
2019,1,January,60.6,66.5,55.2,1/1/2019
2019,2,February,60.8,66.5,55.3,2/1/2019
2019,3,March,60.7,66.5,55.2,3/1/2019
2019,4,April,60.6,66.4,55.2,4/1/2019
2019,5,May,60.6,66.5,55,5/1/2019
2019,6,June,60.7,66.6,55.1,6/1/2019
2019,7,July,60.8,66.7,55.2,7/1/2019
2019,8,August,60.8,66.6,55.4,8/1/2019
2019,9,September,60.9,66.6,55.6,9/1/2019
2019,10,October,60.9,66.5,55.7,10/1/2019
2019,11,November,61,66.8,55.5,11/1/2019
2019,12,December,61,66.7,55.7,12/1/2019
2020,1,January,61.1,66.8,55.8,1/1/2020
2020,2,February,61.2,66.8,55.9,2/1/2020
2020,3,March,59.9,65.6,54.6,3/1/2020
2020,4,April,51.3,57.2,45.8,4/1/2020
2020,5,May,52.8,58.6,47.3,5/1/2020
2020,6,June,54.7,60.2,49.5,6/1/2020
2020,7,July,55.2,60.6,50.2,7/1/2020
2020,8,August,56.5,62,51.3,8/1/2020
2020,9,September,56.6,62.3,51.2,9/1/2020
2020,10,October,57.4,63,52.1,10/1/2020
2020,11,November,57.4,62.8,52.3,11/1/2020
2020,12,December,57.4,62.9,52.2,12/1/2020
2021,1,January,57.5,63.2,52.2,1/1/2021
2021,2,February,57.6,63.2,52.5,2/1/2021
2021,3,March,57.8,63.2,52.8,3/1/2021
2021,4,April,57.9,63.4,52.8,4/1/2021
2021,5,May,58,63.5,52.9,5/1/2021
2021,6,June,58,63.5,52.9,6/1/2021
2021,7,July,58.4,63.8,53.3,7/1/2021
2021,8,August,58.5,64.1,53.4,8/1/2021
2021,9,September,58.8,64.4,53.5,9/1/2021
2021,10,October,58.9,64.6,53.6,10/1/2021
2021,11,November,59.3,65,53.9,11/1/2021
2021,12,December,59.5,65.1,54.3,12/1/2021
2022,1,January,59.7,65.1,54.6,1/1/2022
2022,2,February,59.9,65.7,54.4,2/1/2022
2022,3,March,60.1,65.8,54.8,3/1/2022
2022,4,April,60,65.5,54.8,4/1/2022
2022,5,May,60.1,65.6,54.9,5/1/2022
2022,6,June,59.9,65.4,54.7,6/1/2022
2022,7,July,60,65.2,55,7/1/2022
2022,8,August,60.1,65.3,55.1,8/1/2022
