,Word,Count
0,#JoeBiden,1
1,can’t,3
2,keep,3
3,his,9
4,hands,1
5,to,120
6,himself!,1
7,#Women,3
8,#MeToo,2
9,#Feminism,161
10,#feminists,1
11,#Coeds,1
12,#college,1
13,@HeyTammyBruce,1
14,@brikeilarcnn,1
15,@KirstenPowers,1
16,@welliver_titus,1
17,@SusanPage,1
18,@JuliePace,1
19,#MSNBC,1
20,https://t.co/DqfbKwjxEx,1
21,"""The",1
22,world,6
23,of,127
24,humanity,2
25,consists,1
26,2,4
27,parts...,1
28,1,4
29,is,95
30,woman;,1
31,the,241
32,other,3
33,man.Until,1
34,these,6
35,...,13
36,are,29
37,=,2
38,in,76
39,"strength,the",1
40,oneness,1
41,cannot,1
42,be,22
43,"established,&amp;",1
44,happiness&amp;felicity,1
45,mankind,1
46,will,7
47,not,27
48,a,98
49,reality.God,1
50,"willing,this",1
51,so.,1
52,‘Abdu’l-Bahá,1
53,#equality,2
54,#feminism,77
55,https://t.co/OkEe5fFViV,1
56,RT,253
57,@RadfemVegan:,3
58,It,8
59,serious,2
60,question,4
61,as,29
62,how,8
63,sexual,5
64,harassment,3
65,laws,2
66,can,7
67,possibly,3
68,enforced,2
69,context,2
70,which,4
71,sex,5
72,commerci…,1
73,Full,3
74,decriminalisation,3
75,prostitution,4
76,removes,2
77,only,12
78,one,14
79,social,3
80,stigma,2
81,-,21
82,for,132
83,"buyers,",2
84,addition,2
85,making,68
86,access,2
87,wo…,2
88,The,38
89,"violence,",2
90,potential,2
91,"assault,",2
92,"rape,",2
93,and,150
94,even,6
95,death–endemic,2
96,exceeds,2
97,level,3
98,danger,2
99,accompan…,1
100,@fightitjohn:,1
101,Need,3
102,nanami,2
103,an,10
104,outfit,2
105,that’s,2
106,80%,2
107,tape,2
108,sexualizes,2
109,him,3
110,no,8
111,reason,2
112,@bxns_faiyen:,1
113,Making,1
114,fun,2
115,size,1
116,man’s,1
117,penis,1
118,body,7
119,shaming,1
120,well,4
121,ladies,1
122,#bodypositivity,3
123,#masculinity,6
124,#EqualRights,1
125,@andrewdkaufman:,8
126,personal,8
127,diary,8
128,Dostoyevsky’s,8
129,wife,13
130,(about,8
131,whom,8
132,I,54
133,wrote,8
134,recent,8
135,biography),8
136,was,13
137,closest,8
138,came,9
139,insight,8
140,into…,8
141,@OrgThis:,3
142,Where,4
143,Are,3
144,#WomensRights,14
145,Workforce?,3
146,https://t.co/1ouAA1mWFb,3
147,#business,3
148,#leadership,3
149,#Equality,4
150,Being,1
151,calm,1
152,my,30
153,priority,1
154,now.,1
155,#Affirmation,3
156,#Affirmations,3
157,#Business,1
158,#Ptsd,1
159,#Wednesdaythought,1
160,#Wordstoliveby,1
161,#Anxiety,1
162,#Quoteoftheday,1
163,#Energyhealer,1
164,#Crystalhealer,1
165,#Work,1
166,#Hope,1
167,#Belove,1
168,#Selfcaresunday,1
169,#Dreamhunter,1
170,#Monday,1
171,#Calming,1
172,@KDansky:,16
173,Never,3
174,been,5
175,more,16
176,proud,4
177,life.,4
178,This,18
179,Artifacts,3
180,gallery,3
181,hometown,3
182,"Athens,",3
183,OH.,3
184,spent,4
185,much,5
186,childhood,3
187,shoppin…,3
188,Having,1
189,"fun,",1
190,giving,1
191,shit,2
192,Canadian,1
193,MGTOW,2
194,motto.,1
195,Available,20
196,on,41
197,#stickers,18
198,#tshirts,18
199,#mugs,18
200,#masks,18
201,#magnets,18
202,90+,18
203,over,21
204,items.,18
205,#MGTOW,15
206,#giftideas,11
207,https://t.co/fH58chTkei,1
208,@grandmasproject:,1
209,"filmmaker,",1
210,"grandma,",1
211,recipe…,1
212,#GrandmasProject,1
213,season,1
214,coming,1
215,this,35
216,Fall,1
217,with,88
218,7,1
219,new,3
220,episodes!,1
221,#webseries,1
222,#foo…,1
223,Playing,1
224,prejudices,1
225,against,2
226,prejudiced.,1
227,Way,1
228,go,1
229,"""girls"".",1
230,#FreedomConvoy,1
231,#CouttsBorder,1
232,#RCMP,1
233,https://t.co/obKVDIWz4r,1
234,✨️This,1
235,still,1
236,thing!!,1
237,Enter,1
238,NOTJUST,1
239,at,21
240,checkout,1
241,20%,1
242,off,3
243,everything,10
244,at...👇🏾,1
245,https://t.co/SpgCrzPDMC,1
246,✨️,1
247,#WednesdayMotivation,1
248,#firstdayofschool,1
249,#gay,1
250,#HumpDay,1
251,#quote,1
252,#solidarity,2
253,#qwoc,1
254,#qtbipoc,1
255,https://t.co/4PICHINjUg,1
256,Am,3
257,i,3
258,that,18
259,thinks,1
260,feminists,4
261,bitches,1
262,?,2
263,Like,1
264,they,12
265,want,3
266,treated,1
267,like,11
268,men,13
269,without,2
270,downsides,1
271,yeah,1
272,we,11
273,equals,1
274,but,9
275,woman,17
276,man,5
277,woman.,2
278,#feminisme,2
279,#feminist,16
280,#feministe,1
281,#boys,1
282,#tate,1
283,#facts,1
284,#toxicity,1
285,@Radical_mayo:,1
286,MRA's,1
287,actually,2
288,so,5
289,annoying,1
290,what,5
291,you,31
292,fighting,3
293,for?,1
294,rights,1
295,already,1
296,have?,1
297,@BhargavaPriyash:,2
298,Mother,2
299,",",4
300,Discovered,2
301,Poland,2
302,Now,3
303,adopted,2
304,different,4
305,ways,3
306,blood,2
307,sucking,2
308,#FeministAreVampire…,2
309,@WomensRightsNet:,2
310,year,3
311,@FiLiA_charity,3
312,Saturday,2
313,evening,3
314,women,22
315,Wales,2
316,rally,2
317,topic,3
318,male,8
319,violence,2
320,a…,3
321,@MenCommission:,1
322,@barandbench,2
323,@DebayonRoy,2
324,"Yes,",2
325,limited,2
326,choice,3
327,"wear,",2
328,demand,2
329,Undress,2
330,fundamental,2
331,rights.,2
332,And,6
333,Check,3
334,out,8
335,Richard,1
336,Wilson's,1
337,video!,1
338,#TikTok,1
339,https://t.co/qmdinPn2Zq,1
340,@WomenReadWomen:,3
341,"""Female",3
342,"real,",4
343,it's,7
344,sex.,5
345,Femininity,3
346,"unreal,",3
347,gender.,3
348,become,3
349,given,4
350,identity,3
351,wome…,3
352,@FriendExx:,2
353,#WomenWontWeesht,15
354,WOMEN,6
355,"class,",3
356,gender,2
357,class.,2
358,Women's,2
359,"sports,",2
360,"spaces,",2
361,medicine,2
362,activism,2
363,female,3
364,specifi…,2
365,accompanying,1
366,those,1
367,most,2
368,dangerous,2
369,forms,1
370,work.,4
371,would,15
372,always,2
373,fail,1
374,prostitution.,1
375,#sexwork,3
376,#prostitution,3
377,Dating,1
378,like...crap.,1
